title,link,description,date
"City of Memphis made party to residency lawsuit, JW Gibson seeks to join",https://www.commercialappeal.com/story/news/local/2023/05/01/city-of-memphis-made-party-to-residency-lawsuit-gibson-seeks-to-join/70170075007/,"An attorney for the city of Memphis said they adhere to the five-year residency opinion authored by Robert Meyers, prompting a chancellor to add them to the suit.",2023-05-01
City of Memphis won't be made party to residency suits against Election Commission,https://www.commercialappeal.com/story/news/local/2023/03/31/city-of-memphis-wont-be-made-party-to-residency-suits-against-election-commission/70069192007/,"Chancellor JoeDae Jenkins held a hearing on the motion Friday, allowing the two lawsuits to be consolidated but saying the city of Memphis would not be a party.",2023-03-31
Questions remain following release of footage showing jailed man being beat by corrections officers,https://www.commercialappeal.com/story/news/2023/03/03/gershun-freeman-death-after-fight-with-jailers-leaves-unanswered-questions/69968262007/,"Although footage of the incident was released, questions about why Freeman was not receiving psychiatric care and the jail's protocol remain.",2023-03-03
Surveillance footage from jail shows officers kneeling on inmate's back for almost 6 minutes,https://www.commercialappeal.com/story/news/2023/03/02/video-released-of-shelby-county-jail-officers-beating-inmate/69964005007/,"The video shows correctional officers punching, kicking and pepper spraying Freeman as he runs away without clothes on.",2023-03-02
"Memphis police officer Geoffrey Redd dies two weeks after he was shot in library, MPD says",https://www.commercialappeal.com/story/news/2023/02/18/geoffrey-redd-dies-memphis-police-officer-shot-library/69918942007/,"Memphis police officer Geoffrey Redd, who was shot in a Memphis Public Library in early February died Saturday, the Memphis Police Department said.",2023-02-18
2 deputies at scene of Tyre Nichols's beating suspended without pay,https://www.commercialappeal.com/story/news/2023/02/16/sheriff-no-charges-expected-against-deputies-in-tyre-nichols-case/69909153007/,The two deputies were placed on leave after being seen on body camera footage released in the Tyre Nichols investigation.,2023-02-16
Shelby County sheriff's deputy relieved of duty after November 2022 use-of-force incident,https://www.commercialappeal.com/story/news/2023/02/06/scso-deputy-relieved-of-duty-after-nov-2022-use-of-force-incident/69878444007/,The administrative investigation was spurred by a video of the incident surfacing on social media.,2023-02-06
City Councilman Frank Colvett joins race for Memphis Mayor,https://www.commercialappeal.com/story/news/2023/02/02/frank-colvett-becomes-seventh-person-to-join-the-memphis-mayoral-race/69865989007/,Memphis City Councilman Frank Colvett announced his bid for Memphis mayor Thursday morning. He is currently serving his last term on the city council.,2023-02-02
Sheriff's Office to use Nichols video in training; Commission makes other requests,https://www.commercialappeal.com/story/news/local/2023/02/07/sheriffs-office-to-use-nichols-video-in-training-commission-makes-requests/69878022007/,The Shelby County Commission made multiple requests of the Sheriff's Office as well as Congress. The requests stem from the death of Tyre Nichols.,2023-02-07
Shelby County Sheriff: 2 deputies under investigation in Tyre Nichols' fatal beating,https://www.commercialappeal.com/story/news/local/2023/01/28/two-memphis-sheriffs-investigated-tyre-nichols-death/69850151007/,"The deputies have been ""relieved of duty"" pending an internal investigation into potential policy violations.",2023-01-28
"Racism declared a 'pandemic' in Shelby County; commissioners commit to policy changes
Katherine Burgess ",https://www.commercialappeal.com/story/news/2020/06/22/racism-declared-pandemic-shelby-county/3238440001/,Shelby County commissioners vowed in a resolution to enact policies that eradicate the effects of systemic racism.,2020-06-22
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",https://www.commercialappeal.com/story/news/2020/06/11/memphis-faith-leaders-mpd-police-reform-george-floyd/5343901002/,"In a letter to five Memphis and Shelby County leaders, ministers called for five policy changes in wake of George Floyd's death in Minneapolis",2020-06-11
"Tear gas use during protests could help spread coronavirus, medical professional says
Desiree Stennett ",https://www.commercialappeal.com/story/news/2020/06/09/tear-gas-usage-could-aid-spread-coronavirus-during-memphis-protests/3155103001/,"Using tear gas to on a crowd could increase risk of coronavirus spread at Memphis protests, Dr. Steve Threlkeld of Baptist Memorial Hospital said.",2020-06-09
"Here's what local officials have said about calls to 'defund police'
Micaela A Watts ",https://www.commercialappeal.com/story/news/2020/06/10/memphis-shelby-county-defund-police-tami-sawyer-steve-cohen-jim-strickland/5333681002/,"Some have outright rejected the calls for redirecting funding from law enforcement to community services, and others vow to make it happen.",2020-06-10
"The 901: Was Wednesday a turning point in Memphis protests?
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2020/06/04/wednesday-turning-point-memphis-protests-901/3142606001/,"Memphis Mayor Jim Strickland spoke at a protest yesterday, possibly marking a turning point in conversations about how to improve policing in Memphis.",2020-06-04
