title,link,description,date
"Settlement reached in Springfield High racial bullying case
Nicole Young ",https://www.tennessean.com/story/news/local/robertson/2018/01/26/settlement-reached-springfield-high-racial-bullying-case/1067253001/,"A settlement has been reached between a former Springfield High School student and the Robertson County Board of Education nearly two years after the student filed suit, claiming…",2018-01-26
"FBI questions second Nashville judge in Casey Moreland case
Stacey Barchenger and Dave Boucher ",https://www.tennessean.com/story/news/2017/08/22/casey-moreland-nashville-judge-fbi-gale-robinson-questions/590464001/,At least one other Nashville judge is entangled in the criminal allegations against Casey Moreland and is likely to be a witness in the case.,2017-08-22
"WKU: We knew call on Vandy 2-point conversion
Adam Sparks ",https://www.tennessean.com/story/sports/college/vanderbilt/2015/09/04/derek-mason-defensive-call-vanderbilt-wku/71542840/,WKU players said they knew exactly what Vanderbilt was going to run on its potential game-tying two-point conversion.,2015-09-04
"Mediation possible in Robertson County jail suicide lawsuit
Nicole Young ",https://www.tennessean.com/story/news/local/robertson/2016/07/03/mediation-possible-robertson-county-jail-suicide-lawsuit/86161252/,A private mediation could be in the works for a $10 million lawsuit filed against Robertson County by the family of a robbery suspect who committed suicide in the county jail more…,2016-07-03
"Feds: Moreland tried to pay woman $6,100 to recant allegations against him
Stacey Barchenger ",https://www.tennessean.com/story/news/crime/2017/03/28/judge-casey-moreland-charged-federal-government-corruption/99726856/,Moreland will appear in court Friday for a hearing to determine if he'll stay in custody pending trial.,2017-03-28
"Nashville Judge Casey Moreland resigns amid federal corruption charges
Stacey Barchenger ",https://www.tennessean.com/story/news/crime/2017/03/31/judge-casey-moreland-bribery-custody-probable-cause/99821006/,A letter signed by Moreland says he resigns his post effective Tuesday.,2017-03-31
Nashville's longtime state Rep. Bill Beck dies at 61,https://www.tennessean.com/story/news/politics/2023/06/04/longtime-nashville-rep-bill-beck-dies/70287107007/,"A native of Madison and Whites Creek, Bill Beck was elected to the statehouse in 2014 and represented Madison, East Nashville, downtown and Germantown.",2023-06-04
Tennessee legislative staff refuse to release spending records in lawmaker harassment case,https://www.tennessean.com/story/news/politics/2023/05/14/legislature-refuses-to-disclose-spending-in-lawmaker-harassment-case/70201293007/,The General Assembly has strict confidentiality rules to protect victims of harassment. But legislative staff also are refusing to release spending records.,2023-05-14
The week in politics: Is there time to heed Lee's call for gun legislation?,https://www.tennessean.com/story/news/politics/2023/04/14/the-week-in-politics-is-there-time-to-heed-lees-call-for-gun-action/70104895007/,"Plus, lawmakers honor the Covenant police officers, McNally joins Democrats in opposing pronoun bill and more.",2023-04-14
"Rep. Justin Jones expulsion updates: Council reappoints, Jones retakes oath of office",https://www.tennessean.com/story/news/politics/2023/04/10/justin-jones-expulsion-updates-rally-planned-outside-metro-nashville-council/70099458007/,The Metro Council unanimously voted to reappoint Justin Jones to his District 52 seat in the Tennessee House of Representatives.,2023-04-10
